id,slug
9aabd3a5-41c5-41ed-b3f5-f9510e998afc,benjamin-bem
20bbabba-e961-407b-a305-246d0f44ff13,benjamin-kalu
29f1529a-85cc-4670-a068-2977801959f1,blessing-onuh
7b93348e-4294-43a1-a6b2-5f32e478ad38,bolaji-ayinla
52dcce3e-2e55-4787-baea-bd99df917e91,chawai-muktar
e640492d-54e1-4bb2-8779-472fc4877b24,chinda-kingsley
dd07dfc7-2278-4d1a-a358-c683e932b6c7,chinedu-obidigwe
a23dc281-cc30-47a3-8b34-c23efd1ee7fe,chinedu-ogah
57ee5de1-0bfa-4d19-afd2-616fc1bdc142,chinyere-igwe
95ecc5b3-2e19-4487-afe9-a3634756eec7,chisom-dike
bd3ce3b6-9eb9-46a1-baf2-503e6f6a4858,chris-azubuogu
e48fa637-1ddc-45e4-acaa-21a14127a330,chu-chu-onyema
8cff447f-731f-4f06-9b5c-501bbc5e96ee,chukwu-egbo-ofor-gregory
2112408c-3908-409b-826a-52fa59654163,chukwuma-nwazunku
5e2606cd-b5f2-4ee3-8b21-1df1da1946f4,cornelius-nnaji
a89293ca-bd79-4d63-9c76-7fce11858fe3,dachung-musa
7a4431bb-9608-4753-8d11-809a65480930,dagogo-doctor-farah
692c14c1-07cd-4bc7-bb09-0ade6b2b2f57,danladi-baidu
c559cabf-04e8-468f-bc84-c3d52daf0e69,darlington-nwokocha
2c2ee457-759b-418f-9066-0692b0bc7549,david-abel
b1014d95-d77c-4c2f-853d-10a02b4d0a15,david-zachariah
31426ea1-af14-4992-a00e-6f0b4b426ba2,dawodu-bashiru
a1fde7e8-6b68-4e69-9b87-f6d12b26cf88,dennis-amadi
7967e11f-6c84-4f6e-a68b-c52e73baba22,dennis-idahosa
d3557568-295b-48c2-8d9f-7d6b0753a48a,yakubu-dogara
d39097f2-23b2-4ba0-90cd-9fd753a023c3,dumnamen-dekor
d7d9a7f3-972a-4ceb-9c97-a8787b86a673,edim-ata
7446df85-7895-4c1e-8431-28b8cf83f523,edwin-anayo
dce0a679-44be-4495-af22-1419b4f3b933,efe-afe
e708ad4d-7700-4557-a9bf-d832c0c3893a,daniel-effiong-asuquo
e680ec64-cd08-429b-8c48-9e2d2e7b2e60,egberongbe
4028a047-8154-4390-97c2-aba3c778d95c,egboma-alex
ff5b5a16-9243-4cc0-83fc-b4c97f44ce63,eke-bede
a8c1125c-30a1-4faf-82a9-12c1eb3922db,ekong-nsikak
395c7580-4078-44c5-98cd-445a371e1ffe,ekpenyong-nse
3772809b-716e-4b1b-a2c7-35f4c421f9a6,emeka-chimeziewas
fc9ddfb6-4ed4-4faf-bd1d-9da1572c56c5,emerengwa-boniface-sunday
b38be7cc-f229-4041-924c-7a6eb8cb0708,emmanuel-ukpong
89a9b077-29cd-49e2-a619-225c933d0d01,engr-abubakar-k-yusif
